,url,date,topics
0,https://www.bbc.com//news/articles/cp3zee35x6ko,17 Dec 2024,"['Scottish government', 'Scotland', 'John Swinney', 'Scottish Labour', 'Anas Sarwar', 'Pensions']"
1,https://www.bbc.com//news/articles/cvgp4y7w05ko,8 days ago,"['Pensioners', 'Department for Work & Pensions', 'Northern Ireland']"
2,https://www.bbc.com//news/articles/ckgnl7j1kglo,6 days ago,"['Transport', 'Rail travel', 'London', 'Manchester', 'England', 'Shepherds Bush']"
3,https://www.bbc.com//news/articles/c8dmre8jn5no,16 Dec 2024,['Housing']
4,https://www.bbc.com//news/articles/c245e06r236o,2 Dec 2024,['Grimsby']
5,https://www.bbc.com//news/articles/c36pgw639pko,28 Nov 2024,"['Surrey County Council', 'Council tax']"
6,https://www.bbc.com//news/articles/c785l1nrpd1o,1 Dec 2024,"['Plastic pollution', 'Climate', 'Environment']"
7,https://www.bbc.com//news/articles/c33d6161z3yo,3 days ago,"['Bangalore', ""Women's rights"", 'India']"
8,https://www.bbc.com//news/articles/c0j1wwypygxo,5 Dec 2024,"['Sweden', 'Sexism', 'Women', 'Gender pay gap', ""Women's rights"", 'Working parents', 'Life', 'Lifestyle']"
9,https://www.bbc.com//news/articles/c8rl4rjgyzdo,20 Nov 2024,"['Mayor of the Sheffield City Region', 'Sheffield']"
10,https://www.bbc.com//news/articles/cwyxwpw9jj0o,17 Nov 2024,"['Listed buildings', 'Rail travel', 'London', 'Greenwich']"
11,https://www.bbc.com//news/newsbeat-47317701,21 Nov 2024,"['Jussie Smollett', 'Chicago', 'United States']"
12,https://www.bbc.com//news/articles/cz7wy5722pno,17 Nov 2024,"['Cambridge', 'Women', 'Gender pay gap', 'Gender', 'Cambridgeshire']"
13,https://www.bbc.com//news/articles/cp81ynn7r4mo,1 Nov 2024,"['Fertility', 'Infertility', 'Finland']"
14,https://www.bbc.com//news/articles/cje3eqe8kvno,26 Oct 2024,"['Indigenous Australians', 'King Charles III', 'Australia']"
15,https://www.bbc.com//news/articles/cj313mj6xemo,22 Oct 2024,"['Southampton Council', 'Hampshire & Isle of Wight']"
16,https://www.bbc.com//news/articles/c981g43vmmro,20 Oct 2024,"['Diversity', 'Wales', 'Racism', 'Race and ethnicity', 'Representation']"
17,https://www.bbc.com//news/articles/c4gdjxvd7ggo,17 Oct 2024,"['Affordable housing', 'Planning permission', 'Abingdon']"
18,https://www.bbc.com//news/articles/cj043nqep5lo,16 Oct 2024,['Leeds']
19,https://www.bbc.com//news/articles/cj4dk9lx77jo,15 Oct 2024,"['Dentistry', 'NI Health', 'Greysteel', 'Northern Ireland']"
20,https://www.bbc.com//news/articles/c62rdv7v210o,14 Oct 2024,['no_topics']
