Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,modularity_class,X,Y
https://en.wikipedia.org/wiki/Social_inequality,4,73,77,4,73,77,2,0.504822,0.509552,115076.044466,0.000048,0.000849,0.000305,0,-107.071716,-149.461365
https://en.wikipedia.org/wiki/Economic_inequality,16,93,109,16,93,109,4,0.295674,0.324871,33486.023041,0.000802,0.005788,0.000384,0,129.599182,437.457611
https://en.wikipedia.org/wiki/Gini_coefficient,10,29,39,10,29,39,3,0.350005,0.359679,64623.01954,0.000865,0.000151,0.000336,0,-138.909882,-271.200165
https://en.wikipedia.org/wiki/Thomas_Piketty,5,15,20,5,15,20,5,0.228542,0.241429,785.768506,0.000582,0.000139,0.000288,0,140.861145,-141.448212
https://en.wikipedia.org/wiki/Wealth_inequality,3,17,20,3,17,20,4,0.267259,0.276651,713.708333,0.00066,0.000139,0.000265,0,-422.861359,-112.094849
https://en.wikipedia.org/wiki/Neoliberalism,4,75,79,4,75,79,5,0.248488,0.283246,12229.045236,0.000557,0.002805,0.000269,3,-409.761353,-422.300293
https://en.wikipedia.org/wiki/Wealth,8,26,34,8,26,34,4,0.29805,0.319157,10580.442421,0.000444,0.000306,0.000327,0,-412.385071,491.375031
https://en.wikipedia.org/wiki/Income,7,23,30,7,23,30,4,0.283016,0.300118,2429.530736,0.000368,0.00017,0.000315,0,289.359314,146.657074
https://en.wikipedia.org/wiki/Economics,11,342,353,11,342,353,4,0.308444,0.371979,38356.089743,0.000654,0.008291,0.000342,10,-224.308441,-137.232544
https://en.wikipedia.org/wiki/Meritocracy,6,17,23,6,17,23,4,0.279109,0.289017,22909.344112,0.000314,0.002108,0.000425,0,446.14325,367.336029
https://en.wikipedia.org/wiki/Cycle_of_poverty,3,35,38,3,35,38,4,0.283058,0.300968,6458.674638,0.000443,0.002345,0.000266,0,431.769531,314.084686
https://en.wikipedia.org/wiki/Equality_of_outcome,3,9,12,3,9,12,4,0.27917,0.288341,2257.025582,0.00066,0.000068,0.000265,0,-443.467041,440.021454
https://en.wikipedia.org/wiki/Horizontal_inequality,1,0,1,1,0,1,0,0,0,0,0.000038,0,0.00026,0,437.357544,-128.747131
https://en.wikipedia.org/wiki/Income_inequality,5,25,30,5,25,30,4,0.300535,0.32895,4168.97621,0.000436,0.000425,0.000291,0,-4.78555,-77.872498
https://en.wikipedia.org/wiki/Economic_growth,9,114,123,9,114,123,5,0.24912,0.293972,16080.35655,0.00082,0.005894,0.000304,5,-461.417877,-133.56839
https://en.wikipedia.org/wiki/Poverty,11,115,126,11,115,126,4,0.285405,0.313727,24049.72579,0.00104,0.003374,0.000324,6,-292.052673,475.552094
https://en.wikipedia.org/wiki/Globalization,7,297,304,7,297,304,6,0.225721,0.310822,24683.339632,0.00025,0.006762,0.000298,2,233.529419,391.324493
https://en.wikipedia.org/wiki/International_inequality,2,22,24,2,22,24,4,0.260339,0.26675,1042.892208,0.000067,0.000175,0.000264,0,471.59906,-454.273712
https://en.wikipedia.org/wiki/Social_stratification,11,93,104,11,93,104,3,0.385376,0.408968,81128.317546,0.000185,0.000657,0.000439,1,-373.27948,161.325775
https://en.wikipedia.org/wiki/Social_mobility,4,19,23,4,19,23,3,0.342353,0.348164,4399.599306,0.000172,0.00016,0.000313,0,32.705387,311.745087
https://en.wikipedia.org/wiki/Working_class,5,17,22,5,17,22,5,0.216708,0.23137,7881.837587,0.000108,0.000129,0.000292,1,-285.62616,427.252472
https://en.wikipedia.org/wiki/Prejudice,5,38,43,5,38,43,7,0.165813,0.183733,3030.768387,0.000663,0.000052,0.000274,13,61.353642,474.503754
https://en.wikipedia.org/wiki/Achieved_status,5,8,13,5,8,13,4,0.278905,0.287817,2301.178754,0.000076,0.000039,0.0004,1,-44.290371,189.575897
https://en.wikipedia.org/wiki/Upper_class,4,17,21,4,17,21,4,0.281722,0.292637,618.592616,0.000087,0.000079,0.000289,1,264.415771,-291.445526
https://en.wikipedia.org/wiki/Social_status,5,10,15,5,10,15,4,0.281515,0.291481,1959.165255,0.000075,0.000047,0.000405,1,-341.596436,119.47818
https://en.wikipedia.org/wiki/Vilfredo_Pareto,5,29,34,5,29,34,5,0.237197,0.262697,2517.194206,0.000416,0.00008,0.000285,3,190.630066,-106.563812
https://en.wikipedia.org/wiki/Thorstein_Veblen,5,20,25,5,20,25,1,1,1,1163.254762,0.000411,0.000046,0.000302,1,-339.6026,271.727997
https://en.wikipedia.org/wiki/Karl_Marx,7,219,226,7,219,226,6,0.181753,0.222485,16340.9778,0.00089,0.000653,0.000293,1,229.760986,-438.479645
https://en.wikipedia.org/wiki/Middle_class,6,22,28,6,22,28,4,0.268065,0.277022,11570.836611,0.000096,0.000194,0.000318,1,25.626467,-113.722168
https://en.wikipedia.org/wiki/Social_exclusion,4,25,29,4,25,29,5,0.245771,0.273087,14362.818262,0.000225,0.00019,0.000274,2,59.040409,351.953094
https://en.wikipedia.org/wiki/Ascribed_status,3,3,6,3,3,6,5,0.220028,0.224876,28.069643,0.000068,0.000007,0.000307,1,-12.174314,318.655609
https://en.wikipedia.org/wiki/Alexis_de_Tocqueville,5,24,29,5,24,29,7,0.154659,0.174167,1522.604527,0.000422,0.000047,0.000269,4,322.322021,-355.935272
https://en.wikipedia.org/wiki/Gross_Domestic_Product,2,40,42,2,40,42,6,0.200883,0.225251,1844.336971,0.000067,0.000324,0.000264,5,174.426941,413.631439
https://en.wikipedia.org/wiki/Development_theory,3,83,86,3,83,86,5,0.241774,0.273397,3939.629634,0.000366,0.00098,0.000265,3,-359.144592,-41.34399
https://en.wikipedia.org/wiki/Institutional_racism,2,169,171,2,169,171,4,0.28877,0.320597,9955.913791,0.000067,0.000299,0.000264,4,221.661926,442.309174
https://en.wikipedia.org/wiki/Socioeconomic_status,6,25,31,6,25,31,4,0.292371,0.308514,4792.114715,0.00019,0.000145,0.000323,0,149.315063,161.859222
https://en.wikipedia.org/wiki/Gender_disparities_in_health,1,61,62,1,61,62,5,0.248682,0.274871,2253.440039,0.000038,0.000243,0.00026,7,252.337158,59.703831
https://en.wikipedia.org/wiki/Oppression,4,12,16,4,12,16,1,1,1,575.481806,0.000051,0.000004,0.000278,8,-373.306213,-16.187651
https://en.wikipedia.org/wiki/Productivity,3,27,30,3,27,30,6,0.199906,0.221988,980.388889,0.000312,0.000274,0.000267,5,329.348267,-391.969757
https://en.wikipedia.org/wiki/Millennium_Development_Goals,6,46,52,6,46,52,1,1,1,2043.169353,0.00068,0.000265,0.000274,6,-51.101955,-126.827911
https://en.wikipedia.org/wiki/Housing_inequality,2,11,13,2,11,13,3,0.342108,0.347117,2319.7569,0.000043,0.000118,0.000264,0,-79.146851,490.343842
https://en.wikipedia.org/wiki/Racial_inequality_in_the_United_States,3,30,33,3,30,33,5,0.231128,0.244159,1278.234792,0.000049,0.002182,0.000292,0,28.359194,-251.467926
https://en.wikipedia.org/wiki/The_Rise_of_the_Meritocracy,2,2,4,2,2,4,5,0.218243,0.222642,63,0.000131,0.000014,0.000282,0,-382.875732,269.836761
https://en.wikipedia.org/wiki/Sexism,4,168,172,4,168,172,5,0.257549,0.307406,18707.355921,0.000603,0.00074,0.000291,7,-374.299011,-220.899384
https://en.wikipedia.org/wiki/Women%27s_rights,4,270,274,4,270,274,7,0.197723,0.265452,14769.61979,0.000073,0.001074,0.00029,7,-175.547028,-387.992615
https://en.wikipedia.org/wiki/Gender_role,8,116,124,8,116,124,5,0.241576,0.270187,23182.523822,0.000094,0.000227,0.000307,13,419.47937,-70.467804
https://en.wikipedia.org/wiki/Gender,7,104,111,7,104,111,6,0.211152,0.245433,8452.464877,0.000135,0.000185,0.0003,13,-71.920776,180.085907
